Station_ID,Station_Name,PS_Code,Department_Code,Type,Longitude,Latitude
561.0,Hanur PS,PS - 561,164671137,Police Station - Karnataka,77.3007600002552,12.0883450002992
562.0,Kollegala Rural PS,PS - 562,164671129,Police Station - Karnataka,77.1125919999562,12.1579919998403
563.0,Kollegala Town PS,PS - 563,164671128,Police Station - Karnataka,77.1094150001112,12.1574049997747
564.0,M.M. Hills PS,PS - 564,164671138,Police Station - Karnataka,77.5914000000772,12.030713999633
565.0,Ramapura PS,PS - 565,164671130,Police Station - Karnataka,77.3978629998976,12.0037180003747
566.0,Mambali PS,PS - 566,164671133,Police Station - Karnataka,77.0740040000731,12.1184679998276
567.0,Yelandur PS,PS - 567,164671132,Police Station - Karnataka,77.0314530002178,12.0531669997504
568.0,Arasikere Rural PS,PS - 568,164550738,Police Station - Karnataka,76.2569929998741,13.3126749996872
569.0,Banavara PS,PS - 569,164550739,Police Station - Karnataka,76.1628809997244,13.4047820003321
570.0,Gandasi PS,PS - 570,164550740,Police Station - Karnataka,76.3046730001944,13.1557859996249
571.0,Javagal PS,PS - 571,164551930,Police Station - Karnataka,76.0567989997259,13.3020599997157
572.0,Arasikere Town PS,PS - 572,164551819,Police Station - Karnataka,76.2568810000522,13.3122830000798
573.0,Belur PS,PS - 573,164550752,Police Station - Karnataka,75.8754489997066,13.1741919998648
574.0,Halebeedu PS,PS - 574,164550754,Police Station - Karnataka,75.9937850001458,13.2173030000005
575.0,Hassan City PS,PS - 575,164551741,Police Station - Karnataka,76.1005729998768,13.0030179998449
576.0,Hassan Extention PS,PS - 576,164551743,Police Station - Karnataka,76.1135919995414,13.0069439995986
577.0,Hassan Women PS,PS - 577,164552127,Police Station - Karnataka,76.1076099996677,13.002819999748
578.0,Pension Mohalla PS,PS - 578,164551744,Police Station - Karnataka,76.0954520004157,13.0089080003961
579.0,Dudda PS,PS - 579,164550726,Police Station - Karnataka,76.2048329998239,13.0862719996496
580.0,Goruru PS,PS - 580,164550725,Police Station - Karnataka,76.0616409997433,12.8184319997021
581.0,Hassan Rural PS,PS - 581,164551748,Police Station - Karnataka,76.1062630001699,13.0109769997524
582.0,Shanthigrama PS,PS - 582,164551824,Police Station - Karnataka,76.2177209997494,12.9851579997913
583.0,Arakalagud PS,PS - 583,164550749,Police Station - Karnataka,76.0569999998787,12.7658860002264
584.0,Konanur PS,PS - 584,164550748,Police Station - Karnataka,76.0545599996873,12.6290279996277
585.0,Channarayapatna Rural PS,PS - 585,164551621,Police Station - Karnataka,76.3900000001754,12.9000000004353
586.0,Channarayapatna Town PS,PS - 586,164551620,Police Station - Karnataka,76.389544999876,12.9033170000014
587.0,Hirisave PS,PS - 587,164551624,Police Station - Karnataka,76.5511509995422,12.9439070001803
588.0,Nuggehalli PS,PS - 588,164551622,Police Station - Karnataka,76.4765299996529,13.0086170002442
589.0,Shravanabelagola PS,PS - 589,164551623,Police Station - Karnataka,76.4838759998275,12.8597839999403
590.0,Hallymysore PS,PS - 590,164552187,Police Station - Karnataka,76.2580410001234,12.6584609997983
591.0,Holenarasipura Rural PS,PS - 591,164550744,Police Station - Karnataka,76.2474069995406,12.780772999597
592.0,Holenarasipura Town PS,PS - 592,164550745,Police Station - Karnataka,76.2464179997268,12.7832569995883
593.0,Alur PS,PS - 593,164550727,Police Station - Karnataka,75.9899900002442,12.9773529999543
