State,District,Year,Crime_Category,Crime_Category_Code,Total_Cases
Karnataka,Vijayapura,2024,Crime_Against_Children,Children,0
Karnataka,Yadgir,2024,Crime_Against_Children,Children,0
Karnataka,Bagalkot,2021,Cyber_Crimes,Cyber,20
Karnataka,Ballari,2021,Cyber_Crimes,Cyber,59
Karnataka,Belagavi,2021,Cyber_Crimes,Cyber,50
Karnataka,Bengaluru Rural,2021,Cyber_Crimes,Cyber,85
Karnataka,Bengaluru Urban,2021,Cyber_Crimes,Cyber,6423
Karnataka,Bidar,2021,Cyber_Crimes,Cyber,6
Karnataka,Chamarajanagara,2021,Cyber_Crimes,Cyber,10
Karnataka,Chikkaballapura,2021,Cyber_Crimes,Cyber,47
Karnataka,Chikkamagaluru,2021,Cyber_Crimes,Cyber,68
Karnataka,Chitradurga,2021,Cyber_Crimes,Cyber,22
Karnataka,Dakshina Kannada,2021,Cyber_Crimes,Cyber,165
Karnataka,Davanagere,2021,Cyber_Crimes,Cyber,71
Karnataka,Dharwad,2021,Cyber_Crimes,Cyber,172
Karnataka,Gadag,2021,Cyber_Crimes,Cyber,15
Karnataka,Hassan,2021,Cyber_Crimes,Cyber,46
Karnataka,Haveri,2021,Cyber_Crimes,Cyber,65
Karnataka,Kalaburagi,2021,Cyber_Crimes,Cyber,18
Karnataka,Kodagu,2021,Cyber_Crimes,Cyber,41
Karnataka,Kolar,2021,Cyber_Crimes,Cyber,89
Karnataka,Koppal,2021,Cyber_Crimes,Cyber,15
Karnataka,Mandya,2021,Cyber_Crimes,Cyber,31
Karnataka,Mysuru,2021,Cyber_Crimes,Cyber,158
Karnataka,Raichur,2021,Cyber_Crimes,Cyber,21
Karnataka,Ramanagara,2021,Cyber_Crimes,Cyber,82
Karnataka,Shivamogga,2021,Cyber_Crimes,Cyber,90
Karnataka,Tumakuru,2021,Cyber_Crimes,Cyber,148
Karnataka,Udupi,2021,Cyber_Crimes,Cyber,44
Karnataka,Uttara Kannada,2021,Cyber_Crimes,Cyber,44
Karnataka,Vijayapura,2021,Cyber_Crimes,Cyber,24
Karnataka,Yadgir,2021,Cyber_Crimes,Cyber,7
Karnataka,Bagalkot,2022,Cyber_Crimes,Cyber,21
Karnataka,Ballari,2022,Cyber_Crimes,Cyber,44
Karnataka,Belagavi,2022,Cyber_Crimes,Cyber,139
Karnataka,Bengaluru Rural,2022,Cyber_Crimes,Cyber,239
Karnataka,Bengaluru Urban,2022,Cyber_Crimes,Cyber,9940
Karnataka,Bidar,2022,Cyber_Crimes,Cyber,19
Karnataka,Chamarajanagara,2022,Cyber_Crimes,Cyber,20
Karnataka,Chikkaballapura,2022,Cyber_Crimes,Cyber,96
Karnataka,Chikkamagaluru,2022,Cyber_Crimes,Cyber,69
Karnataka,Chitradurga,2022,Cyber_Crimes,Cyber,50
Karnataka,Dakshina Kannada,2022,Cyber_Crimes,Cyber,97
Karnataka,Davanagere,2022,Cyber_Crimes,Cyber,91
Karnataka,Dharwad,2022,Cyber_Crimes,Cyber,355
Karnataka,Gadag,2022,Cyber_Crimes,Cyber,16
Karnataka,Hassan,2022,Cyber_Crimes,Cyber,43
Karnataka,Haveri,2022,Cyber_Crimes,Cyber,118
Karnataka,Kalaburagi,2022,Cyber_Crimes,Cyber,38
Karnataka,Kodagu,2022,Cyber_Crimes,Cyber,28
Karnataka,Kolar,2022,Cyber_Crimes,Cyber,110
Karnataka,Koppal,2022,Cyber_Crimes,Cyber,22
Karnataka,Mandya,2022,Cyber_Crimes,Cyber,56
Karnataka,Mysuru,2022,Cyber_Crimes,Cyber,328
Karnataka,Raichur,2022,Cyber_Crimes,Cyber,25
Karnataka,Ramanagara,2022,Cyber_Crimes,Cyber,239
Karnataka,Shivamogga,2022,Cyber_Crimes,Cyber,25
Karnataka,Tumakuru,2022,Cyber_Crimes,Cyber,154
Karnataka,Udupi,2022,Cyber_Crimes,Cyber,54
Karnataka,Uttara Kannada,2022,Cyber_Crimes,Cyber,48
Karnataka,Vijayanagara,2022,Cyber_Crimes,Cyber,5
Karnataka,Vijayapura,2022,Cyber_Crimes,Cyber,59
Karnataka,Yadgir,2022,Cyber_Crimes,Cyber,8
Karnataka,Bagalkot,2023,Cyber_Crimes,Cyber,50
Karnataka,Ballari,2023,Cyber_Crimes,Cyber,76
Karnataka,Belagavi,2023,Cyber_Crimes,Cyber,167
Karnataka,Bengaluru Rural,2023,Cyber_Crimes,Cyber,768
Karnataka,Bengaluru Urban,2023,Cyber_Crimes,Cyber,17631
Karnataka,Bidar,2023,Cyber_Crimes,Cyber,38
Karnataka,Chamarajanagara,2023,Cyber_Crimes,Cyber,42
Karnataka,Chikkaballapura,2023,Cyber_Crimes,Cyber,262
Karnataka,Chikkamagaluru,2023,Cyber_Crimes,Cyber,98
Karnataka,Chitradurga,2023,Cyber_Crimes,Cyber,58
Karnataka,Dakshina Kannada,2023,Cyber_Crimes,Cyber,291
Karnataka,Davanagere,2023,Cyber_Crimes,Cyber,95
Karnataka,Dharwad,2023,Cyber_Crimes,Cyber,511
Karnataka,Gadag,2023,Cyber_Crimes,Cyber,65
Karnataka,Hassan,2023,Cyber_Crimes,Cyber,111
Karnataka,Haveri,2023,Cyber_Crimes,Cyber,107
Karnataka,Kalaburagi,2023,Cyber_Crimes,Cyber,60
Karnataka,Kodagu,2023,Cyber_Crimes,Cyber,105
Karnataka,Kolar,2023,Cyber_Crimes,Cyber,187
Karnataka,Koppal,2023,Cyber_Crimes,Cyber,18
Karnataka,Mandya,2023,Cyber_Crimes,Cyber,47
Karnataka,Mysuru,2023,Cyber_Crimes,Cyber,274
